52-PN,IfcFlowSegment
53-PN,IfcFlowSegment
54-PN,IfcFlowSegment
55-PN,IfcFlowSegment
56-PN,IfcFlowSegment
6-SBD,IfcFlowSegment
57-QM,IfcAirTerminal
57-QF,IfcAirToAirHeatRecovery
15.SJ,IfcBeam
27.E,IfcBeam
-2,IfcBuilding
52-PPC.3,IfcBuildingElementProxy
53-PPC.3,IfcBuildingElementProxy
54-PPC.3,IfcBuildingElementProxy
55-PPC.3,IfcBuildingElementProxy
56-PPC.3,IfcBuildingElementProxy
-3,IfcBuildingStorey
27.D,IfcColumn
57-RB,IfcCovering
57-RE,IfcCovering
42.DC,IfcCurtainWall
57-QJ,IfcDamper
57-QJ,IfcAirTerminalBox
41.EG,IfcDoor
42.DE,IfcDoor
42.DF,IfcDoor
43.CCE,IfcDoor
43.CCF,IfcDoor
43.DE,IfcDoor
57-QL,IfcDuctSegment
57-QL,IfcDuctFitting
57-QK,IfcDuctSilencer
46.C-A,IfcEquipmentElement
57-QE,IfcFan
57-QG,IfcFilter
53-PR,IfcFlowTerminal
15.SE,IfcFooting
15.SF,IfcFooting
15.SH,IfcFooting
15.ST,IfcFooting
15.SC,IfcFooting
15.SC,IfcColumn
57-QH,IfcHumidifier
57-QH,IfcUnitaryEquipment
43.E,IfCovering
44.A,IfCovering
44.B,IfCovering
44.C,IfCovering
44.D,IfCovering
44.Z,IfCovering
15.SB,IfcPile
45.BH,IfcRamp
45.BH,IfcRampFlight
45.BH,IfcSlab
01.SG,IfcRoof
01.SG,IfcSlab
45.BD,IfcRoof
45.BD,IfcSlab
-1,IfcSite
01.SF,IfcSlab
01.SJ,IfcSlab
01.SK,IfcSlab
01.SL,IfcSlab
15.SG,IfcSlab
15.SL,IfcSlab
27.F,IfcSlab
27.G,IfcSlab
27.HC,IfcSlab
27.HD,IfcSlab
27.HE,IfcSlab
43.DB,IfcSlab
43.DC,IfcSlab
43.DD,IfcSlab
43.DF,IfcSlab
-4-1-VH,IfcSpace
-4-2-BC,IfcSpace
-4-2-EN,IfcSpace
-4-2-FA,IfcSpace
-4-2-IZ,IfcSpace
-4-2-PR,IfcSpace
-4-2-SZ,IfcSpace
-4-3,IfcSpace
45.BE,IfcStair
01.SH,IfcStair
01.SH,IfcStairFlight
01.SH,IfcSlab
27.HB,IfcStair
27.HB,IfcStairFlight
27.HB,IfcSlab
45.CB,IfcStair
45.CB,IfcStairFlight
45.CB,IfcSlab
-5,IfcSystem
53-PS,IfcValve
01.SB,IfcWall
01.SC,IfcWall
15.SK,IfcWall
16.BC,IfcWall
27.B,IfcWall
27.C,IfcWall
27.HF,IfcWall
41.C,IfcWall
41.D,IfcWall
42.B,IfcWall
42.C,IfcWall
43.CB,IfcWall
41.EB,IfcWindow
41.EC,IfcWindow
42.DB,IfcWindow
